NAME,PRODUCT_SUB_TYPE,WRAPPER_GROUP,COUPON_TYPE,HAS_COUPON_BARRIER,HAS_COUPON,HAS_COUPON_MEMORY,CALL_TYPE,HAS_CALL_PREMIUM,HAS_STEP_UP_AUTO_CALL_HURDLE,HAS_STEP_DOWN_AUTO_CALL_HURDLE,HAS_UPSIDE_PARTICIPATION,HAS_MAXIMUM_RETURN,HAS_DIGITAL_RETURN,HAS_UPSIDE_ABOVE_DIGITAL_RETURN,HAS_UPSIDE_KNOCKOUT,HAS_ABSOLUTE_RETURN,HAS_GEARED_DOWNSIDE,DOWNSIDE_PROTECTION_TYPE,HAS_BEARISH,HAS_RAINBOW,HAS_LOOK_BACK,HAS_REBATE,MULTIPLE_FINAL_VALUATION_DATES_STYLE,HAS_FIXED_TO_FLOAT_TERMS,HAS_ONE_STAR
Floor Capped Allocation CD,PROTECTION,CD,,False,False,False,NONE,False,False,False,True,False,False,False,False,False,False,FLOOR,False,True,False,False,,False,False
Buffer Dual Directional Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,True,False,BUFFER,False,False,False,False,,False,False
Bearish Auto-Callable Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,False,False,NONE,True,False,False,False,,False,False
Buffer Auto-Callable Drawdown Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Floor Dual Directional Capped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,True,False,FLOOR,False,False,False,False,,False,False
Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,False,False,False,True,False,False,False,False,False,False,NONE,False,False,False,False,,False,False
Buffer Issuer-Callable Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Floor Issuer-Callable Uncapped Growth CD,PROTECTION,CD,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor High Watermark Uncapped CD,PROTECTION,CD,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,HIGH_WATER_MARK,False,False
Floor Synthetic Convertible Fixed Yield Note,PROTECTION,NOTE,FIXED,False,True,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,AVERAGING,False,False
Floor Synthetic Convertible Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,AVERAGING,False,False
Floor Auto-Callable CD,PROTECTION,CD,,False,False,False,AUTO_CALLABLE,True,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Digital Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,False,True,True,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Fixed to Floating Yield CD,PROTECTION,CD,FLOATING,False,False,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,True,False
Geared Buffer Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Floor Issuer-Callable Contingent Yield Note,PROTECTION,NOTE,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Auto-Callable Step-Up Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,AUTO_WITH_STEP,True,True,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Auto-Callable Step-Up Uncapped Growth CD,PROTECTION,CD,,False,False,False,AUTO_WITH_STEP,True,True,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Contingent Yield CD,PROTECTION,CD,CONTINGENT,True,True,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Issuer-Callable Contingent Yield CD,PROTECTION,CD,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
